fund_house,quarter_end_date,aum_crore,num_schemes
SBI Mutual Fund,2022-03-31,8613.88,40
SBI Mutual Fund,2022-06-30,8509.19,64
SBI Mutual Fund,2022-09-30,8594.75,65
SBI Mutual Fund,2022-12-31,9185.61,62
SBI Mutual Fund,2023-03-31,9538.9,56
SBI Mutual Fund,2023-06-30,9902.84,43
SBI Mutual Fund,2023-09-30,10062.99,76
SBI Mutual Fund,2023-12-31,10584.3,49
SBI Mutual Fund,2024-03-31,10655.18,69
SBI Mutual Fund,2024-06-30,10706.04,51
SBI Mutual Fund,2024-09-30,11251.78,71
SBI Mutual Fund,2024-12-31,11281.87,51
SBI Mutual Fund,2025-03-31,11571.43,72
SBI Mutual Fund,2025-06-30,11945.35,71
SBI Mutual Fund,2025-09-30,12018.38,71
SBI Mutual Fund,2025-12-31,11939.52,66
ICICI Prudential Mutual Fund,2022-03-31,7075.16,36
ICICI Prudential Mutual Fund,2022-06-30,7372.21,41
ICICI Prudential Mutual Fund,2022-09-30,7939.14,52
ICICI Prudential Mutual Fund,2022-12-31,8099.9,67
ICICI Prudential Mutual Fund,2023-03-31,8425.52,58
ICICI Prudential Mutual Fund,2023-06-30,8487.67,32
ICICI Prudential Mutual Fund,2023-09-30,8351.88,45
ICICI Prudential Mutual Fund,2023-12-31,8707.93,71
ICICI Prudential Mutual Fund,2024-03-31,8502.86,68
ICICI Prudential Mutual Fund,2024-06-30,9156.88,49
ICICI Prudential Mutual Fund,2024-09-30,9243.14,30
ICICI Prudential Mutual Fund,2024-12-31,9696.15,54
ICICI Prudential Mutual Fund,2025-03-31,9506.38,27
ICICI Prudential Mutual Fund,2025-06-30,9948.28,59
ICICI Prudential Mutual Fund,2025-09-30,10375.58,40
ICICI Prudential Mutual Fund,2025-12-31,10543.42,48
HDFC Mutual Fund,2022-03-31,6346.12,35
HDFC Mutual Fund,2022-06-30,6489.31,31
HDFC Mutual Fund,2022-09-30,7048.47,31
HDFC Mutual Fund,2022-12-31,6639.12,27
HDFC Mutual Fund,2023-03-31,6966.16,77
HDFC Mutual Fund,2023-06-30,7010.07,53
HDFC Mutual Fund,2023-09-30,7393.65,77
HDFC Mutual Fund,2023-12-31,7507.32,41
HDFC Mutual Fund,2024-03-31,7611.7,74
HDFC Mutual Fund,2024-06-30,7700.89,74
HDFC Mutual Fund,2024-09-30,7956.13,39
HDFC Mutual Fund,2024-12-31,8033.26,54
HDFC Mutual Fund,2025-03-31,8533.7,48
HDFC Mutual Fund,2025-06-30,8576.4,38
HDFC Mutual Fund,2025-09-30,9005.1,62
HDFC Mutual Fund,2025-12-31,8969.58,72
Nippon India Mutual Fund,2022-03-31,3663.14,76
Nippon India Mutual Fund,2022-06-30,4008.61,42
Nippon India Mutual Fund,2022-09-30,3938.61,26
Nippon India Mutual Fund,2022-12-31,4276.16,33
Nippon India Mutual Fund,2023-03-31,4355.77,78
Nippon India Mutual Fund,2023-06-30,4376.12,52
Nippon India Mutual Fund,2023-09-30,4505.86,32
Nippon India Mutual Fund,2023-12-31,4387.4,32
Nippon India Mutual Fund,2024-03-31,4720.75,37
Nippon India Mutual Fund,2024-06-30,4727.83,65
Nippon India Mutual Fund,2024-09-30,4961.72,76
Nippon India Mutual Fund,2024-12-31,4964.82,32
Nippon India Mutual Fund,2025-03-31,5333.5,29
Nippon India Mutual Fund,2025-06-30,5384.73,62
Nippon India Mutual Fund,2025-09-30,5316.74,30
Nippon India Mutual Fund,2025-12-31,5507.18,32
Axis Mutual Fund,2022-03-31,3209.81,50
Axis Mutual Fund,2022-06-30,3128.96,78
Axis Mutual Fund,2022-09-30,3265.58,39
Axis Mutual Fund,2022-12-31,3595.25,35
Axis Mutual Fund,2023-03-31,3396.63,47
Axis Mutual Fund,2023-06-30,3481.76,53
Axis Mutual Fund,2023-09-30,3672.47,25
Axis Mutual Fund,2023-12-31,3663.58,37
Axis Mutual Fund,2024-03-31,3969.02,53
Axis Mutual Fund,2024-06-30,3853.25,40
Axis Mutual Fund,2024-09-30,4143.08,62
Axis Mutual Fund,2024-12-31,4409.4,46
Axis Mutual Fund,2025-03-31,4231.22,59
Axis Mutual Fund,2025-06-30,4295.15,48
Axis Mutual Fund,2025-09-30,4372.87,70
Axis Mutual Fund,2025-12-31,4513.45,34
Kotak Mahindra Mutual Fund,2022-03-31,2803.41,28
Kotak Mahindra Mutual Fund,2022-06-30,2836.49,53
Kotak Mahindra Mutual Fund,2022-09-30,3009.67,26
Kotak Mahindra Mutual Fund,2022-12-31,3237.12,31
Kotak Mahindra Mutual Fund,2023-03-31,3264.8,71
Kotak Mahindra Mutual Fund,2023-06-30,3406.27,58
Kotak Mahindra Mutual Fund,2023-09-30,3485.77,64
Kotak Mahindra Mutual Fund,2023-12-31,3647.42,77
Kotak Mahindra Mutual Fund,2024-03-31,3646.6,53
Kotak Mahindra Mutual Fund,2024-06-30,3641.11,51
Kotak Mahindra Mutual Fund,2024-09-30,3664.28,68
Kotak Mahindra Mutual Fund,2024-12-31,3855.94,44
Kotak Mahindra Mutual Fund,2025-03-31,3992.41,71
Kotak Mahindra Mutual Fund,2025-06-30,3983.91,26
Kotak Mahindra Mutual Fund,2025-09-30,4075.96,44
Kotak Mahindra Mutual Fund,2025-12-31,4071.67,54
Aditya Birla Sun Life Mutual Fund,2022-03-31,2761.91,35
Aditya Birla Sun Life Mutual Fund,2022-06-30,2812.02,64
Aditya Birla Sun Life Mutual Fund,2022-09-30,2790.51,28
Aditya Birla Sun Life Mutual Fund,2022-12-31,2998.41,61
Aditya Birla Sun Life Mutual Fund,2023-03-31,3036.67,35
Aditya Birla Sun Life Mutual Fund,2023-06-30,3194.38,36
Aditya Birla Sun Life Mutual Fund,2023-09-30,3215.1,37
Aditya Birla Sun Life Mutual Fund,2023-12-31,3290.59,29
Aditya Birla Sun Life Mutual Fund,2024-03-31,3315.38,79
Aditya Birla Sun Life Mutual Fund,2024-06-30,3456.28,41
Aditya Birla Sun Life Mutual Fund,2024-09-30,3685.99,36
Aditya Birla Sun Life Mutual Fund,2024-12-31,3579.65,49
Aditya Birla Sun Life Mutual Fund,2025-03-31,3691.09,72
Aditya Birla Sun Life Mutual Fund,2025-06-30,3763.36,51
Aditya Birla Sun Life Mutual Fund,2025-09-30,3816.46,73
Aditya Birla Sun Life Mutual Fund,2025-12-31,3913.54,57
UTI Mutual Fund,2022-03-31,2226.47,30
UTI Mutual Fund,2022-06-30,2220.65,58
UTI Mutual Fund,2022-09-30,2356.37,64
UTI Mutual Fund,2022-12-31,2513.53,30
UTI Mutual Fund,2023-03-31,2513.76,62
UTI Mutual Fund,2023-06-30,2663.13,40
UTI Mutual Fund,2023-09-30,2601.71,59
UTI Mutual Fund,2023-12-31,2717.29,64
UTI Mutual Fund,2024-03-31,2767.49,69
UTI Mutual Fund,2024-06-30,2790.79,59
UTI Mutual Fund,2024-09-30,2914.09,40
UTI Mutual Fund,2024-12-31,2868.91,53
UTI Mutual Fund,2025-03-31,3077.68,43
UTI Mutual Fund,2025-06-30,2900.58,68
UTI Mutual Fund,2025-09-30,3125.09,25
UTI Mutual Fund,2025-12-31,3169.0,64
DSP Mutual Fund,2022-03-31,1436.92,30
DSP Mutual Fund,2022-06-30,1349.97,59
DSP Mutual Fund,2022-09-30,1406.96,35
DSP Mutual Fund,2022-12-31,1519.06,37
DSP Mutual Fund,2023-03-31,1650.15,44
DSP Mutual Fund,2023-06-30,1582.9,63
DSP Mutual Fund,2023-09-30,1638.95,74
DSP Mutual Fund,2023-12-31,1654.5,51
DSP Mutual Fund,2024-03-31,1660.7,65
DSP Mutual Fund,2024-06-30,1760.5,55
DSP Mutual Fund,2024-09-30,1840.71,74
DSP Mutual Fund,2024-12-31,1902.12,75
DSP Mutual Fund,2025-03-31,1817.05,52
DSP Mutual Fund,2025-06-30,1945.51,47
DSP Mutual Fund,2025-09-30,1912.73,49
DSP Mutual Fund,2025-12-31,2005.21,43
Franklin Templeton Mutual Fund,2022-03-31,978.8,67
Franklin Templeton Mutual Fund,2022-06-30,998.09,36
Franklin Templeton Mutual Fund,2022-09-30,1022.46,66
Franklin Templeton Mutual Fund,2022-12-31,1062.7,33
