month,category,net_inflow_crore,number_of_folios_lakh
2024-04-01,Large Cap,2357.75,9.93
2024-04-01,Mid Cap,2141.14,22.42
2024-04-01,Small Cap,1910.86,33.89
2024-04-01,ELSS,1232.24,31.12
2024-04-01,Liquid,603.62,29.26
2024-04-01,Debt,1447.21,24.29
2024-04-01,Hybrid,873.9,42.55
2024-04-01,Index,525.17,21.46
2024-05-01,Large Cap,3323.82,16.89
2024-05-01,Mid Cap,1071.04,7.94
2024-05-01,Small Cap,2145.96,32.33
2024-05-01,ELSS,1805.62,24.06
2024-05-01,Liquid,697.94,5.54
2024-05-01,Debt,1081.83,11.21
2024-05-01,Hybrid,1013.5,30.42
2024-05-01,Index,576.12,16.22
2024-06-01,Large Cap,3126.97,36.43
2024-06-01,Mid Cap,1946.15,40.4
2024-06-01,Small Cap,2498.83,20.35
2024-06-01,ELSS,1439.38,12.19
2024-06-01,Liquid,813.37,35.67
2024-06-01,Debt,1468.95,40.78
2024-06-01,Hybrid,935.06,33.82
2024-06-01,Index,525.83,21.5
2024-07-01,Large Cap,2318.99,22.4
2024-07-01,Mid Cap,2989.27,16.62
2024-07-01,Small Cap,2427.79,38.49
2024-07-01,ELSS,1304.15,7.99
2024-07-01,Liquid,642.1,12.95
2024-07-01,Debt,2255.49,15.45
2024-07-01,Hybrid,884.66,15.25
2024-07-01,Index,462.64,13.5
2024-08-01,Large Cap,1775.67,28.58
2024-08-01,Mid Cap,1888.41,11.22
2024-08-01,Small Cap,1743.27,35.54
2024-08-01,ELSS,1460.29,36.86
2024-08-01,Liquid,787.11,9.91
2024-08-01,Debt,1913.54,35.31
2024-08-01,Hybrid,692.92,32.24
2024-08-01,Index,658.7,11.69
2024-09-01,Large Cap,2463.55,42.49
2024-09-01,Mid Cap,1803.47,7.56
2024-09-01,Small Cap,2568.8,31.06
2024-09-01,ELSS,1445.12,6.56
2024-09-01,Liquid,983.77,30.31
2024-09-01,Debt,1974.98,26.53
2024-09-01,Hybrid,693.9,23.25
2024-09-01,Index,512.37,20.4
2024-10-01,Large Cap,1940.37,36.67
2024-10-01,Mid Cap,2129.82,44.19
2024-10-01,Small Cap,2252.32,11.85
2024-10-01,ELSS,1659.93,44.29
2024-10-01,Liquid,879.57,22.7
2024-10-01,Debt,1004.06,12.97
2024-10-01,Hybrid,833.27,22.19
2024-10-01,Index,632.69,13.45
2024-11-01,Large Cap,3057.72,40.63
2024-11-01,Mid Cap,1855.18,26.22
2024-11-01,Small Cap,1927.42,32.55
2024-11-01,ELSS,870.35,16.51
2024-11-01,Liquid,723.84,9.86
2024-11-01,Debt,1276.8,16.07
2024-11-01,Hybrid,853.52,38.75
2024-11-01,Index,634.52,44.84
2024-12-01,Large Cap,1987.89,16.44
2024-12-01,Mid Cap,1026.6,9.77
2024-12-01,Small Cap,2641.31,31.78
2024-12-01,ELSS,1294.68,9.37
2024-12-01,Liquid,1059.97,32.59
2024-12-01,Debt,1873.38,7.78
2024-12-01,Hybrid,1050.65,39.72
2024-12-01,Index,790.13,11.61
2025-01-01,Large Cap,2375.05,39.76
2025-01-01,Mid Cap,1501.99,16.13
2025-01-01,Small Cap,3114.28,30.57
2025-01-01,ELSS,945.35,28.76
2025-01-01,Liquid,770.71,34.59
2025-01-01,Debt,1540.94,25.16
2025-01-01,Hybrid,708.31,12.03
2025-01-01,Index,586.59,35.31
2025-02-01,Large Cap,1669.77,28.47
2025-02-01,Mid Cap,1476.35,12.81
2025-02-01,Small Cap,2730.58,30.64
2025-02-01,ELSS,1269.06,12.77
2025-02-01,Liquid,758.21,9.52
2025-02-01,Debt,1990.21,18.09
2025-02-01,Hybrid,1011.8,14.08
2025-02-01,Index,543.89,25.48
2025-03-01,Large Cap,2261.1,10.64
2025-03-01,Mid Cap,1859.05,36.48
2025-03-01,Small Cap,2770.88,35.37
2025-03-01,ELSS,959.37,30.71
2025-03-01,Liquid,773.76,20.72
2025-03-01,Debt,2305.61,10.98
2025-03-01,Hybrid,911.65,12.77
2025-03-01,Index,625.87,38.46
