amfi_code,as_of_date,return_1yr_pct,return_3yr_pct,return_5yr_pct,cagr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,std_dev_pct
118559,2026-05-29,9.68,-2.64,,-5.53,-0.62,-1.0,-9.85,-0.06,-39.98,18.64
118564,2026-05-29,-2.9,-4.15,,-12.47,-0.97,-1.61,-17.01,0.01,-55.69,19.09
118566,2026-05-29,28.47,8.86,,10.52,0.16,0.27,7.55,-0.03,-42.87,28.08
118632,2026-05-29,-0.01,-9.49,,-8.27,-0.75,-1.21,-12.57,-0.02,-58.74,18.98
118743,2026-05-29,28.31,13.51,,7.07,0.06,0.09,2.54,0.04,-29.32,19.39
118751,2026-05-29,-30.46,-23.34,,-22.87,-1.02,-1.66,-27.08,-0.03,-73.12,28.36
119062,2026-05-29,1.19,20.73,,19.87,0.75,1.29,13.2,0.01,-18.87,18.38
119092,2026-05-29,1.64,-16.0,,-9.53,-0.81,-1.28,-13.9,-0.04,-46.42,19.15
119437,2026-05-29,-3.66,-4.26,,7.37,0.07,0.12,2.82,0.01,-43.94,19.6
119438,2026-05-29,22.31,17.35,,16.01,0.53,0.89,10.18,0.04,-22.07,18.87
119544,2026-05-29,-4.86,14.38,,8.22,0.12,0.2,3.4,-0.02,-24.43,19.03
119545,2026-05-29,24.09,25.88,,15.39,0.32,0.58,12.03,-0.03,-43.95,29.2
119551,2026-05-29,22.47,-1.2,,15.48,0.5,0.84,9.69,-0.01,-30.47,19.05
119552,2026-05-29,22.9,20.06,,24.82,0.99,1.64,17.15,-0.03,-24.17,18.93
119553,2026-05-29,-37.4,-22.52,,-12.86,-0.67,-1.12,-15.2,0.04,-68.15,28.29
119556,2026-05-29,2.33,3.01,,3.63,-2.96,-4.72,-2.55,-0.0,-0.6,0.8
119564,2026-05-29,61.12,39.85,,21.88,0.86,1.52,14.9,0.05,-30.6,18.41
119598,2026-05-29,-2.63,0.17,,-3.66,-0.5,-0.82,-7.73,0.01,-35.7,19.22
119600,2026-05-29,23.31,-13.86,,-6.25,-0.43,-0.71,-8.25,0.0,-61.3,28.18
120503,2026-05-29,13.4,15.64,,18.77,0.68,1.13,12.42,0.03,-18.52,18.76
120505,2026-05-29,14.77,7.0,,-2.54,-0.44,-0.74,-6.61,-0.01,-46.19,19.39
120507,2026-05-29,5.02,4.25,,4.65,-1.71,-3.32,-1.61,-0.0,-0.51,0.79
120586,2026-05-29,51.74,27.76,,23.08,0.88,1.51,15.97,0.02,-23.25,19.44
120606,2026-05-29,5.51,-14.73,,-7.27,-0.45,-0.76,-9.08,-0.04,-56.24,29.26
120642,2026-05-29,9.72,0.7,,-1.09,-0.38,-0.65,-5.37,-0.02,-23.38,18.56
120645,2026-05-29,-12.82,10.47,,17.4,0.6,0.96,11.42,0.06,-27.81,19.08
120647,2026-05-29,27.71,13.61,,16.42,0.36,0.6,12.78,-0.01,-35.0,28.72
120716,2026-05-29,5.0,15.05,,12.95,0.37,0.6,7.49,-0.04,-21.05,18.98
120725,2026-05-29,-5.24,-9.16,,-4.08,-0.52,-0.84,-8.23,-0.05,-40.18,19.43
120727,2026-05-29,41.16,9.84,,24.91,0.68,1.16,19.34,-0.01,-31.41,27.84
120728,2026-05-29,22.24,4.84,,2.78,-0.16,-0.28,-1.43,0.0,-24.01,19.56
120841,2026-05-29,-19.83,-11.55,,-8.99,-0.75,-1.3,-13.11,-0.0,-38.42,19.88
120845,2026-05-29,16.87,8.0,,13.14,0.37,0.61,7.75,-0.01,-28.31,19.27
120848,2026-05-29,38.23,19.26,,21.07,0.54,0.94,16.42,0.03,-29.28,27.99
120850,2026-05-29,22.33,17.18,,21.85,0.81,1.36,15.06,0.05,-16.73,19.47
120852,2026-05-29,3.97,3.63,,3.58,-2.98,-5.27,-2.61,-0.0,-0.39,0.81
125494,2026-05-29,10.73,16.38,,9.76,0.2,0.33,4.81,0.02,-30.37,18.89
125495,2026-05-29,-37.54,8.33,,21.49,0.56,0.94,16.6,-0.03,-48.26,27.78
125497,2026-05-29,24.73,-2.95,,6.41,0.02,0.04,1.7,-0.03,-39.0,18.73
125498,2026-05-29,8.91,12.31,,9.23,0.17,0.28,4.25,-0.01,-30.31,18.69
