month,sip_inflow_crore,active_sip_accounts_lakh,new_sip_registrations_lakh,sip_aum_crore
2022-01-01,12287.24,454.63,18.58,147446.85
2022-02-01,12556.93,454.36,16.11,152629.54
2022-03-01,13630.39,477.17,20.16,167585.62
2022-04-01,13079.86,478.34,12.84,162844.25
2022-05-01,13718.93,491.01,17.67,172858.57
2022-06-01,14347.11,506.51,13.91,182997.41
2022-07-01,15007.29,510.15,16.12,193669.05
2022-08-01,15381.65,511.29,15.2,200884.41
2022-09-01,14393.17,523.85,15.17,190205.78
2022-10-01,15029.46,543.19,15.23,200868.78
2022-11-01,15454.07,543.54,18.45,208938.98
2022-12-01,16130.22,557.09,12.68,220500.1
2023-01-01,15961.47,572.13,17.35,220667.31
2023-02-01,16894.87,588.1,15.88,236190.22
2023-03-01,17622.99,591.07,9.38,248836.55
2023-04-01,16835.31,599.89,14.03,240324.0
2023-05-01,17390.07,614.29,18.31,250851.82
2023-06-01,17099.26,625.69,13.43,249307.23
2023-07-01,17640.33,625.4,13.43,259842.02
2023-08-01,18414.46,637.56,11.04,274099.24
2023-09-01,19739.4,652.97,16.75,296880.56
2023-10-01,19696.86,659.97,14.28,299195.3
2023-11-01,19698.8,667.5,11.79,302278.02
2023-12-01,20796.32,695.72,10.32,322238.96
2024-01-01,20503.62,695.96,15.75,320881.61
2024-02-01,20264.29,698.66,18.83,320277.12
2024-03-01,21642.59,713.06,10.82,345199.28
2024-04-01,21170.21,721.19,12.59,340946.23
2024-05-01,21473.73,737.79,17.56,349055.47
2024-06-01,21999.7,745.87,15.69,361015.03
2024-07-01,21968.23,760.4,10.93,363793.89
2024-08-01,22718.71,766.07,20.91,379743.17
2024-09-01,22404.16,773.54,12.26,377958.18
2024-10-01,23735.87,780.7,13.62,403984.43
2024-11-01,24130.35,789.84,13.74,414438.84
2024-12-01,24269.64,812.79,13.08,420471.56
2025-01-01,24652.17,815.99,14.07,430919.86
2025-02-01,24900.5,823.25,10.81,439120.34
2025-03-01,24014.91,836.47,15.89,426865.02
2025-04-01,25228.91,840.82,17.44,452354.27
2025-05-01,25757.18,860.79,14.54,465689.73
2025-06-01,25942.71,865.58,11.4,473065.35
2025-07-01,26239.25,874.34,12.86,482408.53
2025-08-01,27160.59,877.54,14.87,503557.27
2025-09-01,26743.21,897.79,13.23,499964.27
2025-10-01,26187.99,903.24,13.25,493512.59
2025-11-01,27983.26,919.19,16.22,531681.95
2025-12-01,28378.37,931.2,20.94,543445.83
