tx_id,investor_id,amfi_code,date,amount,transaction_type,state,city,tier,age,gender,income_slab,kyc_status
TX0000001,INV00001,120852,2022-11-23,10000,REDEMPTION,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000002,INV00001,119545,2022-03-02,5000,REDEMPTION,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000003,INV00001,119556,2025-12-08,10000,SIP,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000004,INV00001,119545,2023-01-26,5000,SIP,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000005,INV00001,120606,2022-04-24,50000,REDEMPTION,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000006,INV00001,119062,2023-08-22,1000,SIP,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000007,INV00001,119544,2022-12-19,10000,SIP,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000008,INV00001,118564,2025-08-19,5000,SIP,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000009,INV00001,119556,2022-11-25,10000,SIP,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000010,INV00001,118559,2023-07-05,5000,REDEMPTION,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000011,INV00001,120725,2023-03-11,1000,SIP,Uttar Pradesh,Patna,T30,30,M,5-10L,Completed
TX0000012,INV00002,119598,2025-10-31,500,SIP,Gujarat,Nagpur,T30,62,M,<5L,Completed
TX0000013,INV00002,125498,2022-10-09,2500,SIP,Gujarat,Nagpur,T30,62,M,<5L,Completed
TX0000014,INV00002,120642,2024-02-21,50000,LUMPSUM,Gujarat,Nagpur,T30,62,M,<5L,Completed
TX0000015,INV00002,119553,2023-03-27,10000,LUMPSUM,Gujarat,Nagpur,T30,62,M,<5L,Completed
TX0000016,INV00002,119062,2025-08-20,1000,SIP,Gujarat,Nagpur,T30,62,M,<5L,Completed
TX0000017,INV00002,119564,2025-02-20,2500,SIP,Gujarat,Nagpur,T30,62,M,<5L,Completed
TX0000018,INV00003,119598,2022-01-06,10000,LUMPSUM,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000019,INV00003,119553,2025-08-20,5000,SIP,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000020,INV00003,120647,2024-07-09,1000,SIP,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000021,INV00003,120727,2025-09-20,5000,SIP,Haryana,Coimbatore,T30,32,M,5-10L,Completed
