amfi_code,sector_count,total_sector_weight,sector_hhi,sector_hhi_10000,scheme_name,fund_house,category
125498,6,1.0001,0.40536262999999995,4053.6262999999994,HDFC Taxsaver Fund - Direct Growth,HDFC Mutual Fund,ELSS
120505,6,1.0001,0.38473441,3847.3441000000003,ICICI Prudential Long Term Equity Fund - Direct Growth,ICICI Prudential Mutual Fund,ELSS
118559,5,1.0001000000000002,0.37828191000000005,3782.8191000000006,Franklin India Bluechip Fund - Direct Growth,Franklin Templeton Mutual Fund,Large Cap
119600,4,1.0,0.3611644,3611.644,SBI Small Cap Fund - Direct Growth,SBI Mutual Fund,Small Cap
119545,5,1.0,0.34577265999999995,3457.7265999999995,Aditya Birla Sun Life Small Cap Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Small Cap
118632,7,1.0,0.33978723999999993,3397.8723999999993,Nippon India Large Cap Fund - Direct Growth,Nippon India Mutual Fund,Large Cap
119551,5,1.0,0.33857200000000004,3385.7200000000003,SBI Bluechip Fund - Direct Plan Growth,SBI Mutual Fund,Large Cap
119553,5,1.0,0.32627542000000004,3262.7542000000003,Axis Small Cap Fund - Direct Plan Growth,Axis Mutual Fund,Small Cap
118751,5,0.9999,0.31978319,3197.8319,Nippon India Small Cap Fund - Direct Growth,Nippon India Mutual Fund,Small Cap
119092,5,1.0001,0.31546530999999994,3154.6530999999995,Axis Bluechip Fund - Direct Plan Growth,Axis Mutual Fund,Large Cap
119438,5,1.0001,0.30856331000000004,3085.6331000000005,Aditya Birla Sun Life Tax Relief 96 - Direct Growth,Aditya Birla Sun Life Mutual Fund,ELSS
120586,6,1.0001,0.30786258999999994,3078.6258999999995,ICICI Prudential Midcap Fund - Direct Growth,ICICI Prudential Mutual Fund,Mid Cap
120503,7,0.9999999999999999,0.3019502999999999,3019.502999999999,ICICI Prudential Bluechip Fund - Direct Growth,ICICI Prudential Mutual Fund,Large Cap
120645,6,1.0,0.29699536000000004,2969.9536000000003,DSP Midcap Fund - Direct Growth,DSP Mutual Fund,Mid Cap
120848,8,1.0,0.29663996000000004,2966.3996,Kotak Small Cap Fund - Direct Growth,Kotak Mahindra Mutual Fund,Small Cap
119564,7,1.0,0.2963979,2963.979,SBI Tax Advantage Fund - Direct Growth,SBI Mutual Fund,ELSS
119062,5,1.0001,0.28919711,2891.9710999999998,Axis Long Term Equity Fund - Direct Growth,Axis Mutual Fund,ELSS
120850,6,1.0,0.28428454000000003,2842.8454,Kotak Tax Saver Fund - Direct Growth,Kotak Mahindra Mutual Fund,ELSS
119552,5,1.0001,0.27897635,2789.7635,Axis Midcap Fund - Direct Plan Growth,Axis Mutual Fund,Mid Cap
118564,7,0.9999,0.27867535,2786.7535,Franklin India Prima Fund - Direct Growth,Franklin Templeton Mutual Fund,Mid Cap
125495,4,1.0,0.27866184000000005,2786.6184000000003,HDFC Small Cap Fund - Direct Growth,HDFC Mutual Fund,Small Cap
119544,4,1.0,0.27538906,2753.8906,Aditya Birla Sun Life Midcap Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Mid Cap
120642,7,1.0,0.26917950000000007,2691.7950000000005,DSP Top 100 Equity Fund - Direct Growth,DSP Mutual Fund,Large Cap
120606,7,1.0,0.268387,2683.87,ICICI Prudential Smallcap Fund - Direct Growth,ICICI Prudential Mutual Fund,Small Cap
120725,6,1.0,0.26280456,2628.0456000000004,UTI Mid Cap Fund - Direct Growth,UTI Mutual Fund,Mid Cap
120728,7,1.0,0.26200076,2620.0076,UTI Equity Tax Savings Plan - Direct Growth,UTI Mutual Fund,ELSS
120647,6,1.0,0.25558186,2555.8186,DSP Small Cap Fund - Direct Growth,DSP Mutual Fund,Small Cap
120727,5,1.0,0.24775727999999997,2477.5727999999995,UTI Small Cap Fund - Direct Growth,UTI Mutual Fund,Small Cap
118566,6,1.0,0.22426342000000005,2242.6342000000004,Franklin India Smaller Companies Fund - Direct Growth,Franklin Templeton Mutual Fund,Small Cap
120716,7,1.0001,0.21812319000000002,2181.2319,UTI Mastershare Unit Scheme - Direct Growth,UTI Mutual Fund,Large Cap
120845,7,1.0001,0.21228177000000004,2122.8177000000005,Kotak Emerging Equity Fund - Direct Growth,Kotak Mahindra Mutual Fund,Mid Cap
118743,8,0.9998,0.20459909999999998,2045.9909999999998,Nippon India Growth Fund - Direct Growth,Nippon India Mutual Fund,Mid Cap
125494,8,1.0,0.201982,2019.82,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC Mutual Fund,Mid Cap
119437,8,0.9999,0.19316614999999998,1931.6614999999997,Aditya Birla Sun Life Frontline Equity Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Large Cap
119598,7,1.0,0.18735253999999998,1873.5253999999998,SBI Magnum Midcap Fund - Direct Growth,SBI Mutual Fund,Mid Cap
120841,8,1.0,0.1866824,1866.824,Kotak Bluechip Fund - Direct Growth,Kotak Mahindra Mutual Fund,Large Cap
125497,8,1.0002,0.16697976,1669.7976,HDFC Top 100 Fund - Direct Plan Growth,HDFC Mutual Fund,Large Cap
