investor_id,sip_transactions,first_sip_date,last_sip_date,avg_gap_days,max_gap_days,at_risk
INV00001,7,2022-11-25,2025-12-08,184.83333333333334,728,True
INV00003,6,2023-11-13,2026-02-20,166.0,315,True
INV00008,7,2022-01-21,2025-08-02,214.83333333333334,476,True
INV00009,7,2023-12-28,2026-05-15,144.83333333333334,281,True
INV00012,9,2022-01-08,2024-09-25,123.875,280,True
INV00014,6,2022-09-01,2026-05-08,269.0,708,True
INV00018,6,2023-09-03,2025-11-16,161.0,405,True
INV00021,10,2022-03-01,2025-11-27,151.88888888888889,337,True
INV00022,8,2023-03-30,2025-09-11,128.0,307,True
INV00023,7,2022-10-10,2026-04-11,213.16666666666666,598,True
INV00026,6,2022-01-24,2024-04-24,164.2,410,True
INV00029,6,2022-01-11,2026-05-12,316.4,566,True
INV00031,6,2022-05-14,2026-02-02,272.0,717,True
INV00032,6,2023-03-29,2026-04-30,225.6,436,True
INV00034,9,2022-05-26,2026-03-30,175.5,389,True
INV00036,8,2022-10-01,2026-03-18,180.57142857142858,341,True
INV00037,8,2022-06-10,2026-03-19,196.85714285714286,388,True
INV00039,6,2022-01-11,2023-04-13,91.4,314,True
INV00043,7,2022-01-30,2026-04-13,255.66666666666666,661,True
INV00044,7,2022-08-25,2026-05-01,224.16666666666666,706,True
INV00050,10,2023-01-31,2026-04-24,131.0,402,True
INV00051,12,2022-03-25,2026-05-07,136.72727272727272,329,True
INV00052,10,2022-03-09,2026-05-13,169.55555555555554,613,True
INV00056,8,2022-03-09,2026-04-26,215.57142857142858,622,True
INV00057,6,2022-01-29,2026-01-17,289.8,704,True
INV00060,7,2022-01-02,2025-04-14,199.66666666666666,725,True
INV00062,7,2023-04-22,2026-03-14,176.16666666666666,439,True
INV00063,7,2023-06-27,2026-04-29,172.83333333333334,428,True
INV00067,7,2023-01-25,2026-02-24,187.66666666666666,508,True
INV00073,7,2023-05-20,2026-01-05,160.16666666666666,434,True
INV00079,9,2022-01-18,2026-05-12,196.875,815,True
INV00085,6,2023-09-09,2026-03-12,183.0,312,True
INV00091,8,2022-08-08,2025-10-25,167.71428571428572,265,True
INV00093,8,2022-03-09,2025-09-30,185.85714285714286,652,True
INV00096,6,2022-03-27,2025-07-19,242.0,882,True
INV00098,8,2022-08-13,2025-10-19,166.14285714285714,412,True
INV00101,11,2022-03-03,2026-02-09,143.9,442,True
INV00105,6,2022-08-18,2026-01-09,248.0,563,True
INV00106,6,2022-02-14,2026-05-08,308.8,951,True
INV00110,6,2023-03-22,2026-05-16,230.2,450,True
INV00114,8,2022-09-28,2025-09-23,155.85714285714286,255,True
INV00116,10,2022-07-13,2025-12-23,139.88888888888889,247,True
INV00118,8,2022-10-09,2024-12-18,114.42857142857143,460,True
INV00121,7,2022-05-02,2025-10-31,213.0,537,True
INV00125,8,2022-04-15,2025-07-03,167.85714285714286,438,True
INV00126,6,2022-08-12,2025-09-11,225.2,693,True
INV00127,8,2022-06-11,2025-11-02,177.14285714285714,374,True
INV00129,6,2022-02-08,2024-08-25,185.8,446,True
INV00133,7,2022-06-01,2026-03-04,228.66666666666666,559,True
INV00134,6,2022-06-15,2025-03-30,203.8,413,True
INV00137,6,2023-01-30,2025-08-28,188.2,414,True
INV00141,6,2022-03-14,2026-01-31,283.8,660,True
INV00147,7,2022-12-23,2026-02-14,191.5,558,True
INV00148,10,2022-05-28,2025-06-25,124.88888888888889,209,True
INV00149,6,2022-10-15,2025-11-10,224.4,451,True
INV00150,9,2022-04-01,2026-03-26,181.875,572,True
INV00154,7,2022-08-11,2025-08-27,185.33333333333334,633,True
