amfi_code,observations,var_95_pct,cvar_95_pct,scheme_name,fund_house,category,risk_grade
118751,1149,3.0932306954592015,3.7846792794545636,Nippon India Small Cap Fund - Direct Growth,Nippon India Mutual Fund,Small Cap,Very High
120606,1149,3.0843561319568824,3.8157600383157844,ICICI Prudential Smallcap Fund - Direct Growth,ICICI Prudential Mutual Fund,Small Cap,Very High
119553,1149,3.0546573877290273,3.636243187339557,Axis Small Cap Fund - Direct Plan Growth,Axis Mutual Fund,Small Cap,Very High
119600,1149,2.9489519647704943,3.692845403462585,SBI Small Cap Fund - Direct Growth,SBI Mutual Fund,Small Cap,Very High
120647,1149,2.8840094946699613,3.663064768272886,DSP Small Cap Fund - Direct Growth,DSP Mutual Fund,Small Cap,Very High
119545,1149,2.859996760794692,3.5191245821332937,Aditya Birla Sun Life Small Cap Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Small Cap,Very High
125495,1149,2.774823075268633,3.5039817577360473,HDFC Small Cap Fund - Direct Growth,HDFC Mutual Fund,Small Cap,Very High
118566,1149,2.744947682188017,3.6065695763607577,Franklin India Smaller Companies Fund - Direct Growth,Franklin Templeton Mutual Fund,Small Cap,Very High
120727,1149,2.7360338103829185,3.48985720215275,UTI Small Cap Fund - Direct Growth,UTI Mutual Fund,Small Cap,Very High
120848,1149,2.7051803106926053,3.430230577522649,Kotak Small Cap Fund - Direct Growth,Kotak Mahindra Mutual Fund,Small Cap,Very High
118632,1149,2.111146373998878,2.5486084486835767,Nippon India Large Cap Fund - Direct Growth,Nippon India Mutual Fund,Large Cap,Moderate
120725,1149,2.0530531032874078,2.5959116665438566,UTI Mid Cap Fund - Direct Growth,UTI Mutual Fund,Mid Cap,High
119437,1149,2.044557094531536,2.50814297159974,Aditya Birla Sun Life Frontline Equity Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Large Cap,Moderate
119598,1149,2.0427662240899402,2.515228182937921,SBI Magnum Midcap Fund - Direct Growth,SBI Mutual Fund,Mid Cap,High
120728,1149,2.0376084720923315,2.4737360580197456,UTI Equity Tax Savings Plan - Direct Growth,UTI Mutual Fund,ELSS,Moderately High
119092,1149,2.0358520899154486,2.6438480160407862,Axis Bluechip Fund - Direct Plan Growth,Axis Mutual Fund,Large Cap,Moderate
120841,1149,2.0336448199945845,2.5356876201265064,Kotak Bluechip Fund - Direct Growth,Kotak Mahindra Mutual Fund,Large Cap,Moderate
120505,1149,2.0209543513291472,2.4968140357513056,ICICI Prudential Long Term Equity Fund - Direct Growth,ICICI Prudential Mutual Fund,ELSS,Moderately High
120645,1149,2.0041323754125995,2.5678170442996144,DSP Midcap Fund - Direct Growth,DSP Mutual Fund,Mid Cap,High
120845,1149,2.0033443237638777,2.507943928362746,Kotak Emerging Equity Fund - Direct Growth,Kotak Mahindra Mutual Fund,Mid Cap,High
120850,1149,1.9994295647450255,2.449895911595701,Kotak Tax Saver Fund - Direct Growth,Kotak Mahindra Mutual Fund,ELSS,Moderately High
120716,1149,1.9785685628311178,2.3951092326343346,UTI Mastershare Unit Scheme - Direct Growth,UTI Mutual Fund,Large Cap,Moderate
119544,1149,1.971234647869051,2.3662617377012993,Aditya Birla Sun Life Midcap Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Mid Cap,High
118564,1149,1.96488470075429,2.507378837556342,Franklin India Prima Fund - Direct Growth,Franklin Templeton Mutual Fund,Mid Cap,High
119551,1149,1.9473492147094504,2.411462929739024,SBI Bluechip Fund - Direct Plan Growth,SBI Mutual Fund,Large Cap,Moderate
125494,1149,1.945138324560387,2.444757165646477,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC Mutual Fund,Mid Cap,High
119438,1149,1.9297709481217629,2.423381641545114,Aditya Birla Sun Life Tax Relief 96 - Direct Growth,Aditya Birla Sun Life Mutual Fund,ELSS,Moderately High
125498,1149,1.9295851424902886,2.4505862618075,HDFC Taxsaver Fund - Direct Growth,HDFC Mutual Fund,ELSS,High
125497,1149,1.9253770121443046,2.366945623523041,HDFC Top 100 Fund - Direct Plan Growth,HDFC Mutual Fund,Large Cap,Moderately High
120586,1149,1.9156242429398063,2.438758035990362,ICICI Prudential Midcap Fund - Direct Growth,ICICI Prudential Mutual Fund,Mid Cap,High
119552,1149,1.9061403220791262,2.4075035898614194,Axis Midcap Fund - Direct Plan Growth,Axis Mutual Fund,Mid Cap,High
118559,1149,1.892621869871602,2.4945002617155794,Franklin India Bluechip Fund - Direct Growth,Franklin Templeton Mutual Fund,Large Cap,Moderately High
120642,1149,1.8768656863545896,2.353538286586908,DSP Top 100 Equity Fund - Direct Growth,DSP Mutual Fund,Large Cap,Moderately High
118743,1149,1.8701442885538586,2.5602625417986316,Nippon India Growth Fund - Direct Growth,Nippon India Mutual Fund,Mid Cap,High
120503,1149,1.8695494159393735,2.386970719936575,ICICI Prudential Bluechip Fund - Direct Growth,ICICI Prudential Mutual Fund,Large Cap,Moderate
119564,1149,1.8187511836559664,2.2000851998514315,SBI Tax Advantage Fund - Direct Growth,SBI Mutual Fund,ELSS,High
119062,1149,1.7545264834477536,2.2848329155993543,Axis Long Term Equity Fund - Direct Growth,Axis Mutual Fund,ELSS,Moderately High
120852,1149,0.07280583803311202,0.09243357729800557,Kotak Liquid Fund - Direct Growth,Kotak Mahindra Mutual Fund,Liquid,Low
119556,1149,0.06870981580495039,0.09887456165069065,SBI Liquid Fund - Direct Growth,SBI Mutual Fund,Liquid,Low
120507,1149,0.06207710583405301,0.08223832008700517,ICICI Prudential Liquid Fund - Direct Growth,ICICI Prudential Mutual Fund,Liquid,Low
