amfi_code,scheme_name,fund_house,category,expense_ratio_pct,risk_grade,fund_manager,launch_date
119551,SBI Bluechip Fund - Direct Plan Growth,SBI Mutual Fund,Large Cap,0.84,Moderate,Sohini Andani,2018-01-31
120503,ICICI Prudential Bluechip Fund - Direct Growth,ICICI Prudential Mutual Fund,Large Cap,0.92,Moderate,Rajat Chandak,2018-12-30
125497,HDFC Top 100 Fund - Direct Plan Growth,HDFC Mutual Fund,Large Cap,1.05,Moderately High,Prashant Jain,2017-05-10
118632,Nippon India Large Cap Fund - Direct Growth,Nippon India Mutual Fund,Large Cap,0.78,Moderate,Manish Gunwani,2018-07-18
119092,Axis Bluechip Fund - Direct Plan Growth,Axis Mutual Fund,Large Cap,0.65,Moderate,Shreyash Devalkar,2018-02-04
120841,Kotak Bluechip Fund - Direct Growth,Kotak Mahindra Mutual Fund,Large Cap,0.88,Moderate,Harish Krishnan,2017-12-31
119437,Aditya Birla Sun Life Frontline Equity Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Large Cap,0.95,Moderate,Mahesh Patil,2019-09-21
120716,UTI Mastershare Unit Scheme - Direct Growth,UTI Mutual Fund,Large Cap,1.1,Moderate,Swati Kulkarni,2017-11-10
120642,DSP Top 100 Equity Fund - Direct Growth,DSP Mutual Fund,Large Cap,1.15,Moderately High,Vinit Sambre,2019-06-27
118559,Franklin India Bluechip Fund - Direct Growth,Franklin Templeton Mutual Fund,Large Cap,1.25,Moderately High,Anand Radhakrishnan,2015-05-02
119598,SBI Magnum Midcap Fund - Direct Growth,SBI Mutual Fund,Mid Cap,0.98,High,Sohini Andani,2016-04-11
120586,ICICI Prudential Midcap Fund - Direct Growth,ICICI Prudential Mutual Fund,Mid Cap,1.05,High,Lalit Kumar,2018-05-23
125494,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC Mutual Fund,Mid Cap,0.9,High,Chirag Setalvad,2015-11-27
118743,Nippon India Growth Fund - Direct Growth,Nippon India Mutual Fund,Mid Cap,0.85,High,Manish Gunwani,2019-01-22
119552,Axis Midcap Fund - Direct Plan Growth,Axis Mutual Fund,Mid Cap,0.72,High,Shreyash Devalkar,2015-03-29
120845,Kotak Emerging Equity Fund - Direct Growth,Kotak Mahindra Mutual Fund,Mid Cap,0.8,High,Pankaj Tibrewal,2018-10-28
