as_of_date,equity_folios_crore,debt_folios_crore,hybrid_folios_crore,total_folios_crore
2020-12-01,4.06,2.04,1.45,8.1
2021-03-01,4.49,2.12,1.59,8.27
2021-06-01,4.66,2.15,1.67,9.32
2021-09-01,5.34,2.21,1.84,9.89
2021-12-01,5.78,2.25,1.86,10.53
2022-03-01,6.29,2.46,2.03,11.02
2022-06-01,6.79,2.52,2.13,11.6
2022-09-01,7.34,2.64,2.09,12.36
2022-12-01,7.53,2.68,2.31,12.93
2023-03-01,7.99,2.63,2.55,13.62
2023-06-01,8.46,2.66,2.52,14.07
2023-09-01,9.02,2.8,2.68,14.76
2023-12-01,9.39,2.95,2.75,15.57
2024-03-01,9.9,2.96,2.75,16.11
2024-06-01,10.27,3.07,2.93,16.73
2024-09-01,10.83,3.13,3.02,17.38
2024-12-01,11.26,3.19,3.07,18.1
2025-03-01,11.63,3.29,3.22,18.4
2025-06-01,12.06,3.29,3.31,19.07
2025-09-01,12.42,3.45,3.45,19.75
2025-12-01,13.0,3.46,3.47,20.26
