amfi_code,as_of_date,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,std_dev_pct
119551,2026-05-31,15.74,12.18,10.81,0.81,1.16,4.6,0.86,-28.28,12.0
120503,2026-05-31,20.41,12.02,9.73,1.2,1.72,6.61,1.19,-29.9,12.0
125497,2026-05-31,3.33,13.21,12.77,-0.17,-0.24,4.09,0.78,-18.92,16.0
118632,2026-05-31,36.15,11.79,-0.98,2.51,3.59,-1.08,1.18,-27.95,12.0
119092,2026-05-31,32.02,8.14,9.69,2.17,3.1,6.86,0.94,-27.84,12.0
120841,2026-05-31,-1.07,17.32,2.75,-0.59,-0.84,1.91,1.16,-24.93,12.0
119437,2026-05-31,-0.93,11.31,20.7,-0.58,-0.83,0.14,1.16,-33.32,12.0
120716,2026-05-31,7.69,9.03,6.37,0.14,0.2,4.39,0.73,-34.07,12.0
120642,2026-05-31,-1.44,-3.17,5.74,-0.47,-0.66,-2.73,1.18,-18.84,16.0
118559,2026-05-31,48.26,13.2,18.89,2.64,3.77,-1.76,1.04,-34.09,16.0
119598,2026-05-31,-32.94,4.73,-0.59,-1.95,-2.78,-3.57,0.72,-19.72,20.0
120586,2026-05-31,8.81,7.7,19.24,0.14,0.2,-2.81,0.86,-15.33,20.0
125494,2026-05-31,17.59,23.67,-1.83,0.58,0.83,0.82,0.72,-16.17,20.0
118743,2026-05-31,35.66,15.99,0.15,1.48,2.12,-3.23,0.75,-15.02,20.0
119552,2026-05-31,10.84,21.45,19.11,0.24,0.35,3.58,0.76,-20.25,20.0
120845,2026-05-31,-26.01,14.22,11.28,-1.6,-2.29,1.6,0.91,-31.09,20.0
119544,2026-05-31,7.31,-0.78,17.75,0.07,0.09,0.12,0.96,-26.57,20.0
120725,2026-05-31,56.04,9.15,8.67,2.5,3.57,5.52,1.13,-27.63,20.0
120645,2026-05-31,20.11,11.44,14.28,0.71,1.01,-0.51,0.71,-16.63,20.0
118564,2026-05-31,-20.62,18.79,24.12,-1.33,-1.9,0.56,0.99,-15.63,20.0
119600,2026-05-31,14.79,30.14,20.85,0.35,0.5,-1.55,0.97,-18.79,25.0
120606,2026-05-31,44.27,34.55,-11.04,1.53,2.19,4.08,0.85,-25.11,25.0
125495,2026-05-31,30.83,37.16,20.97,0.99,1.42,8.71,0.77,-17.7,25.0
118751,2026-05-31,23.02,10.77,18.12,0.68,0.97,-1.74,1.02,-16.84,25.0
119553,2026-05-31,6.67,41.86,10.37,0.03,0.04,2.0,1.15,-27.21,25.0
120848,2026-05-31,-27.66,36.43,23.69,-1.35,-1.92,4.07,0.95,-25.9,25.0
119545,2026-05-31,-2.68,-3.49,38.87,-0.35,-0.5,0.37,1.17,-17.74,25.0
120727,2026-05-31,70.69,23.21,17.25,2.59,3.7,3.29,1.03,-18.89,25.0
120647,2026-05-31,21.95,35.28,21.37,0.64,0.91,2.31,0.71,-33.31,25.0
118566,2026-05-31,-3.38,22.03,12.24,-0.38,-0.54,3.59,0.94,-15.3,25.0
119062,2026-05-31,-7.91,6.29,-0.54,-0.87,-1.24,0.53,0.92,-17.95,16.0
120505,2026-05-31,14.16,17.56,-2.45,0.51,0.73,-1.16,1.1,-32.06,16.0
119564,2026-05-31,19.97,26.98,2.52,0.7,1.0,-1.82,0.81,-17.93,20.0
125498,2026-05-31,32.83,10.23,17.6,1.34,1.92,-1.65,0.84,-29.35,20.0
120850,2026-05-31,2.01,9.29,24.45,-0.25,-0.36,6.16,0.79,-25.24,16.0
119438,2026-05-31,17.71,21.06,22.44,0.73,1.05,5.72,0.88,-19.12,16.0
120728,2026-05-31,24.79,19.75,14.07,1.17,1.68,2.72,0.87,-24.34,16.0
120852,2026-05-31,6.6,8.7,7.0,0.2,0.29,2.35,1.18,-2.52,3.0
119556,2026-05-31,4.18,7.44,5.12,-0.61,-0.87,11.99,0.72,-2.77,3.0
120507,2026-05-31,7.16,5.67,7.7,0.39,0.55,3.97,0.93,-1.37,3.0
