amfi_code,stock_symbol,sector,weight_pct,as_of_date
119551,WIPRO,IT,15.16,2025-12-31
119551,KOTAKBANK,Financials,1.17,2025-12-31
119551,SBIN,Financials,8.35,2025-12-31
119551,HDFCBANK,Financials,10.05,2025-12-31
119551,HCLTECH,IT,15.16,2025-12-31
119551,INFY,IT,3.33,2025-12-31
119551,RELIANCE,Energy,1.37,2025-12-31
119551,TCS,IT,15.01,2025-12-31
119551,SUNPHARMA,Healthcare,5.59,2025-12-31
119551,ITC,Consumer,2.07,2025-12-31
119551,HINDUNILVR,Consumer,20.18,2025-12-31
119551,AXISBANK,Financials,2.56,2025-12-31
120503,LT,Industrials,0.16,2025-12-31
120503,ULTRACEMCO,Materials,1.85,2025-12-31
120503,KOTAKBANK,Financials,6.71,2025-12-31
120503,AXISBANK,Financials,2.27,2025-12-31
120503,ICICIBANK,Financials,6.26,2025-12-31
120503,WIPRO,IT,7.37,2025-12-31
120503,ITC,Consumer,9.4,2025-12-31
120503,INFY,IT,3.98,2025-12-31
120503,BHARTIARTL,Telecom,1.11,2025-12-31
120503,TCS,IT,2.0,2025-12-31
120503,ASIANPAINT,Consumer,6.87,2025-12-31
120503,TITAN,Consumer,26.24,2025-12-31
120503,SBIN,Financials,14.97,2025-12-31
120503,RELIANCE,Energy,10.81,2025-12-31
125497,HINDUNILVR,Consumer,5.69,2025-12-31
125497,HDFCBANK,Financials,3.57,2025-12-31
125497,SUNPHARMA,Healthcare,12.67,2025-12-31
125497,KOTAKBANK,Financials,13.03,2025-12-31
125497,BHARTIARTL,Telecom,21.19,2025-12-31
125497,ITC,Consumer,6.03,2025-12-31
125497,ULTRACEMCO,Materials,18.3,2025-12-31
125497,LT,Industrials,5.42,2025-12-31
125497,WIPRO,IT,1.99,2025-12-31
125497,AXISBANK,Financials,3.32,2025-12-31
125497,BAJFINANCE,Financials,2.87,2025-12-31
125497,RELIANCE,Energy,5.94,2025-12-31
118632,BHARTIARTL,Telecom,0.11,2025-12-31
118632,SUNPHARMA,Healthcare,0.9,2025-12-31
118632,WIPRO,IT,2.87,2025-12-31
118632,AXISBANK,Financials,3.99,2025-12-31
118632,ICICIBANK,Financials,10.04,2025-12-31
118632,HINDUNILVR,Consumer,3.02,2025-12-31
118632,LT,Industrials,14.83,2025-12-31
